performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
149,25,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
150,25,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/angel-stanislav-wang,candidate_page_listing_status_by_reached_round
151,26,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
152,26,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
153,26,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
154,26,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
155,26,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
156,26,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xuanxiang-wu,candidate_page_listing_status_by_reached_round
157,27,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
158,27,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
159,27,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
160,27,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
161,27,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
162,27,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/ryota-yamazaki,candidate_page_listing_status_by_reached_round
163,28,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
164,28,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
165,28,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
166,28,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
167,28,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
168,28,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/sung-ho-yoo,candidate_page_listing_status_by_reached_round
